"","GEOID","NAME","geometry","latitude","longitude"
"132","24033803300","Census Tract 8033, Prince George's County, Maryland",c(-76.8914756958051, 38.9172004441858),-76.8914756958051,38.9172004441858
"133","24033803401","Census Tract 8034.01, Prince George's County, Maryland",c(-76.8724535118532, 38.9219163502201),-76.8724535118532,38.9219163502201
"134","24033803402","Census Tract 8034.02, Prince George's County, Maryland",c(-76.8733325411584, 38.9159719004464),-76.8733325411584,38.9159719004464
"135","24033803508","Census Tract 8035.08, Prince George's County, Maryland",c(-76.861691124292, 38.9258627386361),-76.861691124292,38.9258627386361
"136","24033803509","Census Tract 8035.09, Prince George's County, Maryland",c(-76.8819360015543, 38.9322481406093),-76.8819360015543,38.9322481406093
"137","24033803512","Census Tract 8035.12, Prince George's County, Maryland",c(-76.8300633471153, 38.8768909703017),-76.8300633471153,38.8768909703017
"138","24033803513","Census Tract 8035.13, Prince George's County, Maryland",c(-76.8265016025511, 38.8866652728282),-76.8265016025511,38.8866652728282
"139","24033803514","Census Tract 8035.14, Prince George's County, Maryland",c(-76.8392892450466, 38.9052074813631),-76.8392892450466,38.9052074813631
"140","24033803516","Census Tract 8035.16, Prince George's County, Maryland",c(-76.8152675920619, 38.9516062967145),-76.8152675920619,38.9516062967145
"141","24033803519","Census Tract 8035.19, Prince George's County, Maryland",c(-76.8623440169843, 38.8959666442487),-76.8623440169843,38.8959666442487
"142","24033803520","Census Tract 8035.20, Prince George's County, Maryland",c(-76.8181378243469, 38.9359108126429),-76.8181378243469,38.9359108126429
"143","24033803521","Census Tract 8035.21, Prince George's County, Maryland",c(-76.8380172432832, 38.924532515809),-76.8380172432832,38.924532515809
"144","24033803522","Census Tract 8035.22, Prince George's County, Maryland",c(-76.8088523676272, 38.902964619801),-76.8088523676272,38.902964619801
"145","24033803523","Census Tract 8035.23, Prince George's County, Maryland",c(-76.8151870994084, 38.9127772556772),-76.8151870994084,38.9127772556772
"146","24033803524","Census Tract 8035.24, Prince George's County, Maryland",c(-76.8773168995513, 38.9042219658047),-76.8773168995513,38.9042219658047
"147","24033803525","Census Tract 8035.25, Prince George's County, Maryland",c(-76.8634736058234, 38.9104990315311),-76.8634736058234,38.9104990315311
"148","24033803526","Census Tract 8035.26, Prince George's County, Maryland",c(-76.8070952487599, 38.8868620805218),-76.8070952487599,38.8868620805218
"149","24033803527","Census Tract 8035.27, Prince George's County, Maryland",c(-76.8199437347119, 38.8945073699292),-76.8199437347119,38.8945073699292
"150","24033803601","Census Tract 8036.01, Prince George's County, Maryland",c(-76.8472269638348, 38.9398141254505),-76.8472269638348,38.9398141254505
"151","24033803602","Census Tract 8036.02, Prince George's County, Maryland",c(-76.8672027106476, 38.9418711662493),-76.8672027106476,38.9418711662493
"152","24033803605","Census Tract 8036.05, Prince George's County, Maryland",c(-76.8835175963225, 38.9693137914389),-76.8835175963225,38.9693137914389
"153","24033803606","Census Tract 8036.06, Prince George's County, Maryland",c(-76.8587237817362, 38.9724195718615),-76.8587237817362,38.9724195718615
"154","24033803607","Census Tract 8036.07, Prince George's County, Maryland",c(-76.8365492011983, 38.9672504546969),-76.8365492011983,38.9672504546969
"155","24033803608","Census Tract 8036.08, Prince George's County, Maryland",c(-76.8471738426539, 38.9561130814493),-76.8471738426539,38.9561130814493
"156","24033803610","Census Tract 8036.10, Prince George's County, Maryland",c(-76.8799852072874, 38.9629315740733),-76.8799852072874,38.9629315740733
"157","24033803612","Census Tract 8036.12, Prince George's County, Maryland",c(-76.8761447145752, 38.9506025296118),-76.8761447145752,38.9506025296118
"158","24033803613","Census Tract 8036.13, Prince George's County, Maryland",c(-76.885618586144, 38.958304715355),-76.885618586144,38.958304715355
"159","24033803700","Census Tract 8037, Prince George's County, Maryland",c(-76.888068537032, 38.9433722989141),-76.888068537032,38.9433722989141
"160","24033803801","Census Tract 8038.01, Prince George's County, Maryland",c(-76.9051960163819, 38.9457708828679),-76.9051960163819,38.9457708828679
"161","24033803803","Census Tract 8038.03, Prince George's County, Maryland",c(-76.8974452812629, 38.9544569746788),-76.8974452812629,38.9544569746788
"162","24033803900","Census Tract 8039, Prince George's County, Maryland",c(-76.9219780936296, 38.9493068081294),-76.9219780936296,38.9493068081294
"163","24033804001","Census Tract 8040.01, Prince George's County, Maryland",c(-76.9136752604795, 38.9466434459625),-76.9136752604795,38.9466434459625
"164","24033804002","Census Tract 8040.02, Prince George's County, Maryland",c(-76.9317126978988, 38.9408651096761),-76.9317126978988,38.9408651096761
"165","24033804101","Census Tract 8041.01, Prince George's County, Maryland",c(-76.9060563753129, 38.9269430652938),-76.9060563753129,38.9269430652938
"166","24033804102","Census Tract 8041.02, Prince George's County, Maryland",c(-76.9009486623331, 38.9375379630186),-76.9009486623331,38.9375379630186
"167","24033804200","Census Tract 8042, Prince George's County, Maryland",c(-76.9187849157661, 38.9251580640421),-76.9187849157661,38.9251580640421
"168","24033804300","Census Tract 8043, Prince George's County, Maryland",c(-76.9301886128061, 38.9257792808702),-76.9301886128061,38.9257792808702
"169","24033804400","Census Tract 8044, Prince George's County, Maryland",c(-76.946812141469, 38.9313726587179),-76.946812141469,38.9313726587179
"170","24033804600","Census Tract 8046, Prince George's County, Maryland",c(-76.9552851988134, 38.9436011973085),-76.9552851988134,38.9436011973085
"171","24033804700","Census Tract 8047, Prince George's County, Maryland",c(-76.9626415947537, 38.9398387323752),-76.9626415947537,38.9398387323752
