GEOID,total_pop,white_pop,perc_no_cars,pct_nonwhite,,,,TRACTCODE,,TRACTCODE,perc_no_car,,TRACTCODE,pct_nonwhite,,TRACTCODE,total_pop
24033802106,4291,42,18.2,99,,,,24033802106,,033802106,18.2,,033802106,99,,033802106,4291
24033802107,3923,111,15.2,97,,,,24033802107,,033802107,15.2,,033802107,97,,033802107,3923
24033802201,2437,265,2.7,89,,,,24033802201,,033802201,2.7,,033802201,89,,033802201,2437
24033802203,4903,165,9.4,97,,,,24033802203,,033802203,9.4,,033802203,97,,033802203,4903
24033802204,6250,270,7.3,96,,,,24033802204,,033802204,7.3,,033802204,96,,033802204,6250
24033802301,3944,126,3.7,97,,,,24033802301,,033802301,3.7,,033802301,97,,033802301,3944
24033802404,4472,121,22.3,97,,,,24033802404,,033802404,22.3,,033802404,97,,033802404,4472
24033802405,3809,107,13.9,97,,,,24033802405,,033802405,13.9,,033802405,97,,033802405,3809
24033802406,2331,99,7.9,96,,,,24033802406,,033802406,7.9,,033802406,96,,033802406,2331
24033802407,3270,118,20.8,96,,,,24033802407,,033802407,20.8,,033802407,96,,033802407,3270
24033802408,1817,90,20.1,95,,,,24033802408,,033802408,20.1,,033802408,95,,033802408,1817
24033802501,2223,51,25.2,98,,,,24033802501,,033802501,25.2,,033802501,98,,033802501,2223
24033802502,2221,59,10.3,97,,,,24033802502,,033802502,10.3,,033802502,97,,033802502,2221
24033802600,3360,256,19.7,92,,,,24033802600,,033802600,19.7,,033802600,92,,033802600,3360
24033802700,2942,259,15.4,91,,,,24033802700,,033802700,15.4,,033802700,91,,033802700,2942
24033802803,5526,115,14.7,98,,,,24033802803,,033802803,14.7,,033802803,98,,033802803,5526
24033802804,4837,64,10.2,99,,,,24033802804,,033802804,10.2,,033802804,99,,033802804,4837
24033802805,4575,239,7.7,95,,,,24033802805,,033802805,7.7,,033802805,95,,033802805,4575
24033802901,3832,194,22.4,95,,,,24033802901,,033802901,22.4,,033802901,95,,033802901,3832
24033803001,2966,45,4.9,98,,,,24033803001,,033803001,4.9,,033803001,98,,033803001,2966
24033803002,2569,104,8,96,,,,24033803002,,033803002,8,,033803002,96,,033803002,2569
24033803100,2590,174,17.8,93,,,,24033803100,,033803100,17.8,,033803100,93,,033803100,2590
24033803200,2903,229,20,92,,,,24033803200,,033803200,20,,033803200,92,,033803200,2903
24033803300,4377,149,9.6,97,,,,24033803300,,033803300,9.6,,033803300,97,,033803300,4377
24033803401,1405,76,10,95,,,,24033803401,,033803401,10,,033803401,95,,033803401,1405
24033803402,4059,270,16.4,93,,,,24033803402,,033803402,16.4,,033803402,93,,033803402,4059
24033803508,4401,609,7.4,86,,,,24033803508,,033803508,7.4,,033803508,86,,033803508,4401
24033803509,3095,161,17.2,95,,,,24033803509,,033803509,17.2,,033803509,95,,033803509,3095
24033803512,6622,628,1.2,91,,,,24033803512,,033803512,1.2,,033803512,91,,033803512,6622
24033803513,4339,227,2.7,95,,,,24033803513,,033803513,2.7,,033803513,95,,033803513,4339
24033803514,4694,112,17.6,98,,,,24033803514,,033803514,17.6,,033803514,98,,033803514,4694
24033803516,4875,343,1.8,93,,,,24033803516,,033803516,1.8,,033803516,93,,033803516,4875
24033803519,6184,267,3.9,96,,,,24033803519,,033803519,3.9,,033803519,96,,033803519,6184
24033803520,4536,219,2,95,,,,24033803520,,033803520,2,,033803520,95,,033803520,4536
24033803521,6884,638,6.2,91,,,,24033803521,,033803521,6.2,,033803521,91,,033803521,6884
24033803522,3625,283,1.8,92,,,,24033803522,,033803522,1.8,,033803522,92,,033803522,3625
24033803523,3731,217,0,94,,,,24033803523,,033803523,0,,033803523,94,,033803523,3731
24033803524,4678,203,6.7,96,,,,24033803524,,033803524,6.7,,033803524,96,,033803524,4678
24033803525,2293,9,6.4,100,,,,24033803525,,033803525,6.4,,033803525,100,,033803525,2293
24033803526,3181,85,4.4,97,,,,24033803526,,033803526,4.4,,033803526,97,,033803526,3181
24033803527,3169,99,3.3,97,,,,24033803527,,033803527,3.3,,033803527,97,,033803527,3169
24033803601,3700,332,2.9,91,,,,24033803601,,033803601,2.9,,033803601,91,,033803601,3700
24033803602,2352,272,7.4,88,,,,24033803602,,033803602,7.4,,033803602,88,,033803602,2352
24033803605,6897,1658,5.4,76,,,,24033803605,,033803605,5.4,,033803605,76,,033803605,6897
24033803606,6055,628,2,90,,,,24033803606,,033803606,2,,033803606,90,,033803606,6055
24033803607,3743,610,3.6,84,,,,24033803607,,033803607,3.6,,033803607,84,,033803607,3743
24033803608,6097,748,4.7,88,,,,24033803608,,033803608,4.7,,033803608,88,,033803608,6097
24033803610,3580,582,6.4,84,,,,24033803610,,033803610,6.4,,033803610,84,,033803610,3580
24033803612,3213,154,20.1,95,,,,24033803612,,033803612,20.1,,033803612,95,,033803612,3213
24033803613,6142,607,22.6,90,,,,24033803613,,033803613,22.6,,033803613,90,,033803613,6142
24033803700,2710,656,4.6,76,,,,24033803700,,033803700,4.6,,033803700,76,,033803700,2710
24033803801,2374,487,6.8,79,,,,24033803801,,033803801,6.8,,033803801,79,,033803801,2374
24033803803,6020,770,2.3,87,,,,24033803803,,033803803,2.3,,033803803,87,,033803803,6020
